Instrument,Price,Quantity,Timestamp,Trade Reference,Instrument Type,Underlying Asset,Client Reference
CADAUD,0.9407,402,1499202074,,,UA_10,
JPYCAD,0.0114,5199,1498919428,TR_4,BUY,UA_10,
GBPJPY,160.1662,8133,1499049491,TR_4,,UA_3,
GBPAUD,1.7924,895,1498898550,,,UA_4,CR_3
NZDGBP,0.5573,946,1499139926,,,,CR_1
USDJPY,110.1189,7454,1499044482,TR_2,,,
GBPAUD,1.4809,1027,1499168853,TR_2,SELL,UA_10,CR_3
CADGBP,0.61,1540,1499013165,TR_4,BUY,,CR_3
USDZAR,12.6314,908,1499161175,,BUY,UA_6,
EURZAR,15.6652,3759,1499043879,TR_1,BUY,,
NZDGBP,0.5183,3107,1498986817,,BUY,UA_9,
CADEUR,0.679,1938,1498998648,,BUY,,
ZARJPY,8.0397,7883,1498992586,TR_3,BUY,UA_2,CR_1
EURJPY,132.0183,2242,1499021736,TR_3,,,CR_1
JPYCHF,0.0079,8339,1498920800,TR_3,,,
JPYGBP,0.0062,7940,1499137814,TR_5,BUY,UA_7,
CHFZAR,14.2195,1713,1499141964,,,UA_8,
EURNZD,1.4647,5674,1499032309,,,UA_6,CR_2
NZDUSD,0.7451,2231,1499202910,,,UA_1,CR_1
JPYEUR,0.0077,8391,1499073035,,,UA_1,CR_3
AUDJPY,93.8277,2200,1499021867,TR_1,SELL,UA_2,CR_1
GBPJPY,137.4388,3877,1499124166,TR_5,,,
AUDEUR,0.6778,9750,1499150959,,SELL,UA_6,
CADZAR,9.9255,9133,1498932953,,SELL,,
CHFGBP,0.7797,9436,1498955228,TR_4,,UA_3,
ZARGBP,0.0529,4244,1499194837,,SELL,,CR_2
EURNZD,1.6317,1212,1499124641,TR_4,,UA_10,CR_3
AUDCAD,0.9167,2844,1499077639,TR_2,BUY,,
NZDGBP,0.5251,3631,1498972541,TR_4,BUY,,CR_2
JPYNZD,0.0121,2756,1499047230,TR_4,SELL,UA_1,CR_1
JPYEUR,0.0077,503,1498957477,TR_1,BUY,UA_2,CR_1
AUDJPY,93.2007,4629,1499027235,,,UA_4,
GBPEUR,1.0369,574,1499086401,TR_4,SELL,,
CADAUD,0.9612,9456,1498930820,TR_2,,UA_10,CR_1
GBPZAR,17.754,9352,1499131499,,,UA_3,CR_1
GBPUSD,1.1883,1390,1499136723,,,,CR_2
EURCHF,1.1096,6074,1498951456,,SELL,,
AUDZAR,10.8722,172,1499158424,TR_4,,,CR_1
CADEUR,0.647,6111,1499100894,TR_5,,UA_1,CR_1
JPYEUR,0.0073,1364,1499005128,TR_3,BUY,UA_10,CR_1
CHFZAR,14.5363,6056,1499177038,TR_2,,,CR_1
NZDJPY,77.2802,6326,1498939850,TR_2,SELL,,
EURGBP,0.8206,3751,1498958357,,,UA_9,CR_2
EURJPY,140.559,4033,1499148500,TR_2,,UA_1,CR_1
AUDUSD,0.8392,9309,1499198502,,,,
NZDCAD,0.8824,6309,1499006067,,SELL,,CR_2
AUDUSD,0.8001,5066,1499127702,,BUY,,CR_3
EURNZD,1.578,9547,1499008349,,,,CR_3
GBPUSD,1.1895,3539,1498924330,,SELL,UA_3,CR_3
ZARJPY,8.6794,9390,1499192429,TR_2,BUY,UA_2,
JPYCAD,0.0102,8165,1498910414,,,UA_7,
EURCHF,1.1818,4396,1499107012,,SELL,UA_5,CR_3
CADZAR,10.6087,8384,1499213865,,SELL,,CR_1
EURAUD,1.5477,667,1499018426,TR_3,BUY,,CR_3
CHFCAD,1.2739,7316,1499143227,,BUY,,CR_3
ZARCAD,0.0863,4224,1499009526,TR_3,,UA_9,CR_1
NZDZAR,10.5296,4444,1499057661,,SELL,,CR_3
CADAUD,0.9861,6415,1499013154,,SELL,,CR_2
GBPCAD,1.5212,9312,1499138248,TR_5,BUY,,
EURCAD,1.5919,7534,1499000889,,SELL,UA_10,CR_1
JPYCHF,0.0096,8728,1498947638,TR_1,SELL,UA_2,CR_1
CADUSD,0.7735,7174,1498942055,TR_5,BUY,UA_9,CR_2
EURZAR,16.5701,3081,1499058238,,SELL,UA_8,
ZARCHF,0.0708,1087,1499177938,,BUY,,CR_1
JPYGBP,0.0074,8351,1498992322,TR_1,SELL,UA_6,CR_3
CHFNZD,1.4222,1909,1498962642,,SELL,UA_10,
ZAREUR,0.0687,9983,1499157905,,,,
USDCAD,1.3562,5101,1498936606,TR_2,BUY,,
AUDZAR,11.2647,8281,1499201600,TR_5,SELL,UA_4,
ZAREUR,0.0641,3915,1499166274,,BUY,,CR_2
NZDJPY,88.4113,9230,1499171646,,,UA_3,CR_1
GBPCHF,1.267,7380,1498954622,,,,
CHFJPY,118.9082,4765,1498984320,TR_1,,,CR_2
JPYCHF,0.0092,5261,1498911757,,SELL,,CR_2
NZDCHF,0.77,4325,1498981628,,,UA_8,CR_3
JPYCAD,0.0115,8564,1499077127,,,UA_6,
CHFGBP,0.7348,6522,1499053670,,SELL,UA_2,CR_1
EURZAR,15.5479,6222,1498933662,TR_2,,UA_8,
JPYZAR,0.1072,6310,1498900572,,SELL,,CR_2
USDJPY,101.2215,9541,1498902244,,BUY,,CR_2
NZDGBP,0.5633,4969,1499118802,,SELL,UA_10,
GBPCHF,1.2075,4029,1499017361,TR_1,,,
USDAUD,1.1545,3933,1499042101,TR_1,,,CR_2
GBPCAD,1.6753,8247,1498968202,TR_1,SELL,UA_4,CR_2
AUDUSD,0.7972,22,1498897560,TR_5,,UA_1,CR_3
CHFEUR,0.8184,7114,1499172141,TR_4,SELL,UA_8,CR_2
USDCAD,1.1378,5250,1498950639,TR_3,,UA_8,CR_2
EURCHF,1.1142,519,1499082440,TR_3,,UA_8,CR_2
CADCHF,0.7316,3623,1499027859,,,UA_10,CR_1
NZDCHF,0.7243,525,1499147192,,BUY,,
NZDUSD,0.8229,7674,1499075241,,BUY,,
EURCHF,1.0611,7482,1499033329,TR_2,,,
ZARJPY,8.4502,4000,1498962363,,BUY,UA_1,
GBPAUD,1.7954,8220,1499005022,TR_3,,,CR_2
ZARAUD,0.0889,8274,1498970291,,BUY,,CR_1
ZARCHF,0.0761,3465,1499042807,TR_4,,,CR_3
AUDCAD,1.0882,2876,1499150294,,,UA_2,CR_2
EURJPY,130.6954,7360,1499021857,,,,CR_2
USDEUR,0.8934,1158,1499082852,,SELL,UA_3,
NZDJPY,84.8734,7897,1499015531,TR_2,SELL,,CR_3
ZARCAD,0.0869,2945,1498932756,,,,CR_2
ZAREUR,0.0596,1626,1498969552,TR_1,SELL,,CR_1
CHFUSD,0.9723,7537,1498901245,,SELL,UA_4,
ZARJPY,8.7801,7788,1499150812,,,UA_9,
NZDEUR,0.5806,78,1499043332,,SELL,UA_10,
USDCHF,0.9831,5033,1499121741,TR_2,,,CR_2
CHFUSD,1.0049,8910,1499082147,,SELL,,
USDNZD,1.379,2800,1498946238,,,,CR_1
GBPCAD,1.5781,5111,1499080801,TR_4,,UA_2,CR_3
JPYCAD,0.0119,3746,1499164256,,SELL,,
AUDEUR,0.728,5328,1499014570,TR_2,,UA_4,
GBPCHF,1.1569,4262,1499167019,TR_2,BUY,UA_3,CR_2
JPYZAR,0.1291,7257,1498954558,,,,CR_1
ZARUSD,0.081,3701,1499015722,,,,
CADZAR,10.8484,5915,1499103812,,,UA_2,CR_2
EURJPY,139.8611,7150,1499057284,,SELL,,CR_2
CADJPY,91.2935,1607,1498901360,TR_1,,,CR_2
NZDCAD,0.8886,3413,1499095594,,,,CR_3
NZDZAR,9.9648,9227,1498985736,,BUY,UA_2,
NZDCAD,0.9795,6870,1499091784,,SELL,,
ZARCAD,0.0858,2711,1499066038,TR_5,,UA_2,CR_3
GBPZAR,15.5492,1438,1498953024,TR_2,BUY,UA_3,CR_3
CADEUR,0.6822,2641,1499097189,,SELL,,CR_2
AUDCHF,0.8288,6669,1499100609,,,UA_2,CR_2
AUDGBP,0.6379,4378,1498908485,,,UA_4,
EURGBP,0.9112,3925,1498946907,,SELL,UA_3,
GBPNZD,1.86,2573,1498956124,,,,
GBPUSD,1.272,3425,1499015830,TR_3,,UA_8,CR_3
CHFEUR,0.9395,9593,1499153165,TR_2,SELL,,
USDZAR,11.8792,3333,1498969939,TR_3,BUY,UA_6,
AUDUSD,0.867,625,1499021592,,,,
AUDEUR,0.7347,6853,1498918013,TR_1,,,
GBPNZD,1.8928,9753,1498997701,TR_2,,UA_4,CR_1
NZDCHF,0.711,2342,1499105278,,,UA_3,
CHFJPY,119.7494,2880,1499196353,TR_2,BUY,,
CHFNZD,1.326,6748,1499177858,TR_4,BUY,,
JPYGBP,0.007,6246,1499184612,,,UA_2,
CHFNZD,1.2952,216,1499104365,TR_1,BUY,UA_10,
CADZAR,11.0685,3306,1498929898,,,UA_3,
CHFAUD,1.1831,2875,1499173759,TR_2,,UA_5,
EURGBP,0.9151,6633,1499172578,TR_5,,UA_5,
NZDGBP,0.6008,4812,1499070057,TR_2,,UA_6,CR_2
USDCHF,1.0229,8754,1498920339,,BUY,UA_4,CR_3
ZARUSD,0.079,2786,1499207403,TR_5,,,CR_3
CADCHF,0.7252,3881,1499126331,TR_2,BUY,UA_3,CR_1
AUDZAR,9.7516,958,1499172301,,BUY,,CR_2
JPYZAR,0.1212,6957,1499061138,,,UA_7,CR_3
AUDEUR,0.7346,3421,1499063068,,,UA_9,CR_2
ZARAUD,0.0921,5255,1499046604,TR_2,BUY,UA_1,CR_1
CADJPY,97.5481,469,1499195308,,BUY,UA_6,CR_1
NZDJPY,89.9272,1418,1499062068,,,UA_2,
JPYUSD,0.0099,2684,1499004089,,SELL,,
USDNZD,1.3708,9613,1499207166,,SELL,,CR_3
EURUSD,1.1894,1526,1499194750,,,UA_2,CR_3
JPYEUR,0.0077,4228,1498966289,TR_1,,UA_5,CR_1
AUDJPY,85.841,9705,1498914454,,BUY,UA_7,
JPYGBP,0.0068,2378,1499208001,TR_3,SELL,,CR_2
JPYAUD,0.0108,7313,1498905636,,SELL,UA_6,
GBPCHF,1.2518,9712,1499010211,,SELL,UA_2,
NZDZAR,9.2519,1946,1498973328,TR_1,BUY,UA_6,CR_2
CHFAUD,1.2722,7337,1499139215,TR_5,,,
JPYCAD,0.0102,8610,1499009200,TR_2,,UA_10,CR_1
EURZAR,14.4256,6799,1499145866,TR_1,SELL,UA_10,
EURAUD,1.5536,5651,1499171677,,BUY,,
GBPJPY,146.8109,6851,1498955854,,SELL,,CR_3
CHFUSD,1.062,2748,1499202887,TR_2,,,CR_2
CHFEUR,0.9087,5341,1499192192,,SELL,,
USDZAR,12.7254,5231,1499082341,TR_1,,UA_2,CR_2
ZARGBP,0.0563,5132,1498909758,,,UA_5,
GBPEUR,1.1635,3458,1499038137,,BUY,,CR_1
CADGBP,0.5566,1964,1499200663,TR_5,,,
ZARAUD,0.1035,534,1499160456,,SELL,,CR_1
JPYCHF,0.008,7605,1499023016,TR_4,SELL,,
JPYZAR,0.1127,3033,1498999171,,BUY,UA_3,
AUDJPY,85.1512,9372,1499184578,,,UA_8,CR_3
JPYAUD,0.0106,7124,1498901261,TR_3,SELL,UA_7,CR_3
NZDEUR,0.6754,1348,1498946867,TR_1,BUY,UA_5,
GBPCHF,1.2386,4415,1498907395,,BUY,,
AUDEUR,0.6293,8808,1499084598,,BUY,,
GBPCHF,1.1745,3489,1498916302,TR_4,,,
GBPZAR,18.5873,2610,1499158534,TR_3,SELL,,
ZARGBP,0.0615,3870,1499004123,TR_4,,UA_4,
CHFAUD,1.3708,1376,1499004208,,,,CR_1
NZDCHF,0.6835,4353,1499048248,TR_4,SELL,,
EURGBP,0.9499,7067,1499207623,,,,
JPYGBP,0.0072,5490,1498973995,TR_4,,,CR_3
JPYCAD,0.0119,5291,1498912666,TR_2,SELL,UA_1,CR_2
GBPUSD,1.2855,6122,1499069952,TR_3,,UA_3,
NZDEUR,0.6203,6925,1498995004,,BUY,,CR_3
ZARCAD,0.0916,7638,1499057220,,BUY,,
CHFEUR,0.9571,2636,1499192231,TR_2,SELL,,CR_2
AUDZAR,10.6671,110,1499211581,TR_2,,UA_6,
AUDJPY,83.7579,338,1499028200,,BUY,,
JPYUSD,0.0091,2200,1499146234,,BUY,,CR_2
GBPZAR,17.7434,3131,1498945854,,SELL,,
CADJPY,92.1403,3929,1499030559,,,UA_10,
CADAUD,0.9626,7185,1499054472,,,,CR_2
EURAUD,1.6089,6411,1499033707,,,UA_5,CR_1
EURZAR,14.3547,7997,1499203864,TR_1,SELL,,
EURZAR,14.8355,9699,1499185248,TR_2,BUY,,CR_1
EURUSD,1.1115,6124,1498935000,,,UA_2,CR_2
