Instrument,Price,Quantity,Timestamp,Trade Reference,Instrument Type,Underlying Asset,Client Reference,Market Value
CHFZAR,14.1712,1186,1499175137,TR_1,BUY,,CR_3,16807.0432
CHFNZD,1.2564,6475,1499026576,TR_1,,,CR_1,8135.19
ZARCHF,0.0727,8272,1499155308,,,,CR_1,601.3744
EURCAD,1.5051,8800,1499149126,TR_4,SELL,UA_8,CR_2,13244.88
GBPUSD,1.3532,3807,1498971841,,,UA_3,CR_2,5151.6324
GBPJPY,142.1616,9792,1499131337,,,UA_8,,1392046.3872
CHFZAR,13.6736,1091,1498905159,,,UA_1,CR_2,14917.8976
GBPZAR,15.8903,1721,1498955021,,SELL,UA_2,,27347.2063
AUDNZD,1.0549,8138,1498917001,TR_5,BUY,UA_5,,8584.7762
USDZAR,11.8282,8344,1498963754,,,UA_9,CR_3,98694.5008
GBPAUD,1.6078,879,1499051697,TR_4,,UA_2,CR_1,1413.2562
JPYNZD,0.0111,5237,1498995535,TR_1,,,,58.1307
ZARAUD,0.0873,7621,1499004029,TR_2,,,CR_1,665.3133
ZARNZD,0.1122,8926,1498946132,TR_5,SELL,,CR_1,1001.4972
JPYGBP,0.0063,3612,1498902402,TR_5,,UA_10,CR_3,22.7556
GBPAUD,1.5367,6456,1499006335,,,,,9920.9352
AUDCAD,1.0156,6418,1499032075,TR_4,BUY,,,6518.1208
NZDEUR,0.629,913,1499044509,TR_2,,,CR_3,574.277
JPYCAD,0.0107,5206,1499096081,,,UA_10,,55.7042
JPYUSD,0.0093,178,1498990503,,BUY,UA_3,,1.6554
GBPUSD,1.3837,9082,1499151981,TR_2,SELL,UA_4,CR_1,12566.7634
GBPAUD,1.6403,8226,1499029815,TR_3,,UA_4,,13493.1078
EURJPY,143.0774,1432,1499132367,,,,,204886.8368
GBPUSD,1.3396,2314,1498989691,TR_2,,UA_7,,3099.8344
ZARJPY,7.9622,9680,1499065964,,SELL,,CR_1,77074.096
JPYZAR,0.1219,9459,1499105700,TR_4,SELL,,CR_3,1153.0521
CHFGBP,0.7055,7293,1498940631,,,,,5145.2115
JPYGBP,0.0072,3502,1498921733,,,,CR_1,25.2144
JPYAUD,0.0109,5435,1498992280,TR_4,BUY,UA_3,CR_1,59.2415
NZDCAD,0.9248,6632,1498923977,TR_1,,UA_4,CR_1,6133.2736
AUDCHF,0.7969,5758,1499043441,,SELL,UA_7,,4588.5502
CHFCAD,1.3412,1931,1498979787,TR_2,,UA_5,CR_1,2589.8572
EURUSD,1.1659,9843,1499085207,TR_1,SELL,,CR_1,11475.9537
ZARAUD,0.0914,7234,1498926575,,SELL,,,661.1876
CADGBP,0.6741,4554,1499207236,TR_2,,,CR_2,3069.8514
AUDUSD,0.7266,7456,1499208571,TR_5,SELL,,CR_2,5417.5296
ZARAUD,0.0883,7009,1498933524,TR_3,,UA_7,CR_2,618.8947
ZARCAD,0.1047,970,1499156029,TR_2,,,CR_3,101.559
ZAREUR,0.0705,8774,1499025265,,,,CR_3,618.567
CADAUD,0.9084,5194,1499061551,,,,,4718.2296
EURJPY,136.1566,61,1498966729,TR_2,,UA_5,,8305.5526
GBPAUD,1.759,6138,1499150177,,SELL,UA_10,CR_1,10796.742
CADCHF,0.8502,9558,1499128081,TR_1,,UA_2,,8126.2116
GBPCHF,1.2914,4368,1498933380,TR_4,,,CR_1,5640.8352
NZDCHF,0.7456,8717,1499088515,TR_4,,,,6499.3952
CHFEUR,0.7992,1872,1499029677,,,,CR_1,1496.1024
ZARCHF,0.0756,2939,1498917019,,BUY,UA_6,,222.1884
EURCAD,1.5157,6040,1499030457,TR_4,SELL,,CR_2,9154.828
NZDZAR,9.0899,6367,1498942449,TR_4,,,,57875.3933
NZDCAD,0.9687,2001,1498905771,TR_5,,UA_3,CR_1,1938.3687
NZDJPY,79.0746,1935,1499041614,,SELL,,CR_3,153009.351
JPYUSD,0.0083,9673,1498980101,TR_2,,UA_10,CR_2,80.2859
GBPNZD,1.6653,3989,1498925196,,SELL,UA_9,CR_1,6642.8817
CHFGBP,0.7166,4686,1499063597,,,UA_10,CR_3,3357.9876
USDCHF,0.9738,254,1499100509,TR_1,BUY,UA_2,CR_1,247.3452
GBPAUD,1.7627,6395,1498950307,,,,CR_3,11272.4665
GBPAUD,1.7897,5846,1499083332,,,,,10462.5862
ZAREUR,0.0688,6089,1499039510,TR_5,SELL,UA_7,,418.9232
ZARGBP,0.0629,6941,1499091116,TR_2,,,,436.5889
ZARNZD,0.11,1461,1499016423,TR_1,,,,160.71
ZAREUR,0.0676,6939,1499037840,TR_1,SELL,UA_2,CR_1,469.0764
USDCAD,1.2796,2,1499105436,TR_4,,UA_10,,2.5592
