Instrument,Price,Quantity,Timestamp,Trade Reference,Instrument Type,Underlying Asset,Client Reference,Market Value
EURCAD,1.5051,8800,1499149126,TR_4,SELL,UA_8,CR_2,13244.88
GBPAUD,1.6078,879,1499051697,TR_4,,UA_2,CR_1,1413.2562
AUDCAD,1.0156,6418,1499032075,TR_4,BUY,,,6518.1208
JPYZAR,0.1219,9459,1499105700,TR_4,SELL,,CR_3,1153.0521
JPYAUD,0.0109,5435,1498992280,TR_4,BUY,UA_3,CR_1,59.2415
GBPCHF,1.2914,4368,1498933380,TR_4,,,CR_1,5640.8352
NZDCHF,0.7456,8717,1499088515,TR_4,,,,6499.3952
EURCAD,1.5157,6040,1499030457,TR_4,SELL,,CR_2,9154.828
NZDZAR,9.0899,6367,1498942449,TR_4,,,,57875.3933
USDCAD,1.2796,2,1499105436,TR_4,,UA_10,,2.5592
ZARGBP,0.0525,6059,1499079611,TR_4,,,,318.0975
ZARCHF,0.0713,1002,1499112390,TR_4,,,,71.4426
ZARCHF,0.0797,7028,1499009455,TR_4,BUY,,,560.1316
GBPAUD,1.5619,849,1498927933,TR_4,,,,1326.0531
NZDUSD,0.755,698,1499176405,TR_4,BUY,UA_1,,526.99
AUDZAR,10.2223,4671,1499068611,TR_4,,,CR_3,47748.3633
USDAUD,1.2638,1858,1499035226,TR_4,,,CR_1,2348.1404
NZDJPY,91.1936,9650,1499113203,TR_4,,,CR_3,880018.24
AUDZAR,10.5989,3137,1499075513,TR_4,SELL,,,33248.7493
EURJPY,138.6313,2215,1499062442,TR_4,SELL,,,307068.3295
JPYCHF,0.0082,6419,1498901307,TR_4,,UA_2,CR_1,52.6358
AUDGBP,0.6257,1910,1499026483,TR_4,SELL,UA_9,,1195.087
USDNZD,1.4129,8464,1498960670,TR_4,BUY,UA_10,,11958.7856
GBPAUD,1.775,4123,1499179859,TR_4,BUY,,,7318.325
USDAUD,1.1721,6983,1499128887,TR_4,SELL,,CR_2,8184.7743
EURCHF,1.065,8478,1499015691,TR_4,BUY,UA_5,,9029.07
CHFAUD,1.2103,8596,1499119403,TR_4,BUY,UA_8,,10403.7388
NZDUSD,0.7771,2462,1499110950,TR_4,,UA_1,CR_2,1913.2202
EURJPY,138.9999,428,1499122227,TR_4,,UA_6,CR_1,59491.9572
AUDUSD,0.8121,8380,1499125188,TR_4,,UA_10,,6805.398
NZDCHF,0.7982,4237,1499101678,TR_4,BUY,UA_5,CR_1,3381.9734
EURAUD,1.5349,7235,1499025300,TR_4,BUY,,,11105.0015
GBPCHF,1.2283,8787,1499180484,TR_4,BUY,,,10793.0721
EURAUD,1.4161,9771,1498960337,TR_4,,,CR_3,13836.7131
CADCHF,0.848,188,1499061277,TR_4,BUY,,CR_1,159.424
CHFEUR,0.9308,9572,1499203870,TR_4,,,,8909.6176
EURJPY,135.6882,3710,1499204181,TR_4,SELL,,,503403.222
JPYEUR,0.0077,8779,1498903620,TR_4,BUY,UA_7,,67.5983
JPYUSD,0.0098,6175,1499114591,TR_4,,,CR_1,60.515
JPYZAR,0.1205,1859,1499064580,TR_4,BUY,UA_5,,224.0095
USDCHF,1.0181,6755,1499035243,TR_4,,UA_8,CR_3,6877.2655
ZARNZD,0.1016,7704,1498984429,TR_4,,UA_5,,782.7264
EURGBP,0.8565,8539,1499202383,TR_4,SELL,,,7313.6535
GBPCHF,1.2075,3953,1499124486,TR_4,,,,4773.2475
USDJPY,114.043,1107,1499183702,TR_4,BUY,UA_1,CR_2,126245.601
JPYEUR,0.0079,8636,1499023169,TR_4,SELL,,,68.2244
JPYZAR,0.121,4639,1498989893,TR_4,SELL,,,561.319
JPYCHF,0.0082,2507,1498974285,TR_4,BUY,,CR_2,20.5574
AUDGBP,0.6003,3585,1498992516,TR_4,,,,2152.0755
CADUSD,0.8075,1235,1499029295,TR_4,BUY,UA_9,,997.2625
AUDUSD,0.749,8370,1499014384,TR_4,,UA_1,CR_1,6269.13
NZDUSD,0.7804,8300,1499006720,TR_4,,UA_2,,6477.32
GBPNZD,1.738,4627,1499154308,TR_4,SELL,,CR_2,8041.726
AUDNZD,0.9675,4753,1499020019,TR_4,,UA_4,CR_1,4598.5275
EURUSD,1.2864,3305,1499194823,TR_4,,UA_10,,4251.552
CHFNZD,1.4166,3599,1498901257,TR_4,BUY,,CR_3,5098.3434
JPYZAR,0.1113,5295,1499152806,TR_4,,UA_8,,589.3335
EURCHF,1.0645,487,1499122378,TR_4,SELL,,CR_2,518.4115
CADAUD,1.0233,6354,1498950663,TR_4,,,,6502.0482
