Closing Position,Closing Value,Instrument,Total Traded Value
BUY,-9876.916,GBPAUD,27307.532
SELL,8122.3272,NZDEUR,14697.5222
BUY,-116.2395,JPYCAD,207.6521
SELL,32474.2296,ZARJPY,327518.7086
SELL,1777.7805,JPYZAR,5673.6933
SELL,4588.5502,AUDCHF,8218.1976
BUY,9943.2797,EURUSD,37535.3527
SELL,12907.9554,CADAUD,17626.185
BUY,1240.6429,NZDCHF,41195.9857
SELL,674980.4842,NZDJPY,1554998.7242
BUY,-3858.1751,CHFGBP,32020.3586
BUY,-11211.8404,USDCHF,32571.6828
SELL,447.9456,ZAREUR,3191.0842
BUY,-98.1166,ZARGBP,1506.7972
SELL,-3648.5532,USDCAD,12065.4168
,0.0,JPYNZD,148.5398
BUY,-24498.7185,EURCAD,24498.7185
BUY,-6056.1312,USDEUR,20209.7712
BUY,815523.5409,AUDJPY,2005188.2481
BUY,11666.2693,NZDCAD,17864.7877
SELL,1585349.1009,USDJPY,1585349.1009
BUY,248.5501,ZARCHF,1897.3446
SELL,151943.6705,AUDZAR,250909.6517
SELL,4579.7697,GBPEUR,16033.0224
BUY,-14.0825,JPYGBP,106.7151
SELL,18997.8863,CHFUSD,27006.9005
SELL,66560.8192,USDZAR,186004.6386
SELL,1127889.3444,GBPJPY,3515718.6636
BUY,-6490.433,EURNZD,24737.2296
SELL,307068.3295,EURJPY,1088961.2419
SELL,21.7211,JPYCHF,101.6067
,0.0,CHFEUR,11633.9295
BUY,-4275.5705,CADCHF,11134.0931
BUY,-4782.2535,CADUSD,16543.0024
SELL,6372.4601,NZDGBP,10419.4673
SELL,3769.2603,EURGBP,3769.2603
BUY,-2.8558,JPYAUD,76.7878
BUY,-1826.5356,CHFAUD,36941.462
BUY,-5172.8658,NZDUSD,22766.9906
SELL,-903.5631,CADNZD,17396.8964
BUY,-106151.8071,CADZAR,136583.5071
,0.0,USDAUD,18951.4248
SELL,3240.0279,GBPNZD,28989.2879
BUY,-61.915,JPYUSD,220.7841
SELL,15869.2684,GBPCHF,15869.2684
SELL,972425.0206,CADJPY,1872946.6161
SELL,7837.5843,GBPCAD,7837.5843
BUY,-377.1242,CHFCAD,31966.339
BUY,-120465.598,GBPZAR,120465.598
SELL,952.1806,ZARNZD,1287.7315
SELL,577.8011,ZARUSD,1722.1003
BUY,-2938.9595,USDGBP,2938.9595
,0.0,CADGBP,1294.3224
SELL,2858.025,AUDEUR,2858.025
BUY,-1841.4162,EURAUD,22762.5498
SELL,135846.0374,NZDZAR,135846.0374
,0.0,USDNZD,10656.7283
SELL,3636.4985,EURCHF,21884.2351
BUY,-13134.6618,GBPUSD,35116.6446
SELL,7621.182,NZDAUD,15007.0488
BUY,-10909.7688,AUDCAD,13617.6852
SELL,46.1088,JPYEUR,46.1088
,0.0,CHFZAR,105194.993
BUY,-1830548.2031,CHFJPY,1830548.2031
BUY,-22709.5234,CHFNZD,37427.641
BUY,-3602.0304,AUDGBP,10709.2577
SELL,960.0376,ZARAUD,1655.1532
BUY,-7871.1704,AUDNZD,7871.1704
SELL,871.8975,AUDUSD,11896.8975
,0.0,EURZAR,36675.4779
,0.0,CADEUR,2536.1028
